Bucket,Shares Traded,Midquote,Impact,Exec Price,Cost
0,7692,100.0,0.001092264,100.001092264,769208.4016946879
1,7692,100.08333333333333,0.001092264,100.08442559733332,769849.4016946879
2,7692,100.16666666666667,0.001092264,100.16775893066666,770490.401694688
3,7692,100.25,0.001092264,100.251092264,771131.4016946879
4,7692,100.33333333333333,0.001092264,100.33442559733332,771772.4016946879
5,7693,100.41666666666667,0.001092406,100.41775907266667,772513.8205460247
6,7692,100.5,0.001092264,100.501092264,773054.4016946879
7,7693,100.58333333333333,0.001092406,100.58442573933333,773795.9872126912
8,7692,100.66666666666667,0.001092264,100.66775893066666,774336.401694688
9,7693,100.75,0.001092406,100.751092406,775078.153879358
10,7692,100.83333333333333,0.001092264,100.83442559733332,775618.4016946879
11,7693,100.91666666666667,0.001092406,100.91775907266667,776360.3205460247
12,7692,101.0,0.001092264,101.001092264,776900.4016946879
