Bucket,Avg Shares Traded,Avg Impact,Avg Exec Price,Avg Cost
0,7692.0,0.0011,100.0011,769208.4
1,7692.0,0.0011,100.0844,769849.4
2,7692.0,0.0011,100.1678,770490.4
3,7692.0,0.0011,100.2511,771131.4
4,7692.0,0.0011,100.3344,771772.4
5,7693.0,0.0011,100.4178,772513.82
6,7692.0,0.0011,100.5011,773054.4
7,7693.0,0.0011,100.5844,773795.99
8,7692.0,0.0011,100.6678,774336.4
9,7693.0,0.0011,100.7511,775078.15
10,7692.0,0.0011,100.8344,775618.4
11,7693.0,0.0011,100.9178,776360.32
12,7615.08,0.0011,101.0011,769131.31
